company,country
Gottlieb Binder GmbH & Co. KG,DE
Grifols Diagnostics Solutions Inc.,US
Grizzly Tools GmbH,DE
Gucci,IT
HEDIN AUTOMOTIVE SA,LU
HEWLETT-PACKARD,US
HGSystem ApS,DK
HL Display,SE
HMD Global Oy,FI
HORL 1993 GmbH,DE
"Hacint Intelligence Technology Co., Ltd.",CN
"HaeNaem Co., Ltd.",KR
Hand Held Products,US
Handtmann Gruppe,CH
Harvard College,US
Headwater Research LLC,US
Hefei Xinhu Canned Motor Pump Co.,CN
"Helios Streaming, LLC",US
Henkel,DE
Henle Baumaschinentechnik GmbH,DE
Heraeus,DE
Himson Engineering ,IN
Hinterberger GmbH & Co KG,DE
Hisense GmbH,DE
Hologic Inc,US
Honeywell Control Systems Ltd.,GB
Huawei,CN
"Hubei Fluorine New Materials Co., Ltd.",CN
Hurom,KR
Husqvarna AB,SE
Hybridgenerator ApS,DK
Hyler BV,US
Hyperglance limited,GB
Hypertherm Inc.,US
Hyundai Motor,KR
Häfele SE & Co KG,DE
I.G.B. S.r.l.,IT
ICPillar LLC,US
ILME,IT
IMI Hydronic,SE
IMS Robotics,DE
INTERLUX UAB,LT
IPG Laser GmbH & Co.,DE
IPS GmbH,DE
IQIP Holding B.V.,NL
IREKS,DE
ISOCHRONIC AG,CH
ITALY (Government),IT
"Illumina, Inc.",US
Imusyn GmbH & Co. KG,DE
Inficon GmbH,DE
Infinix Mobility Ltd.,HK
Infoblox Inc.,US
Infotech Concept,RO
Innovative Sonic Corporation,TW
Inspire Medical Systems,US
"Instrumentos de Laboratório e Científicos, LDA",PT
Insulet Corporation,US
Intel,
Intercom s.r.l.,IT
Interdigital,US
Inventronics GmbH,DE
Irdeto B.V.,NL
Itel Mobile Ltd.,HK
JEAN LAIN AUTOMOBILES SAS,FR
JVC KENWOOD CORP,JP
Janser GmbH,AT
Jef Nelissen,BE
Jifeline Networks BV,NL
"JingAo Solar Co., Ltd.",KY
"Jinko Solar Co., Ltd.",CN
Johnson & Johnson,US
Julius Blum GmbH,AT
KEEEX SAS,FR
KINGS METAL FIBER TECH CO LTD,
KM-Enke GmbH,DE
KNAPP Smart Solutions GmbH,DE
KNARR Vertriebs GmbH,DE
KOMPERNASS HANDELSGESELLSCHAFT MBH,DE
KONINKLIJKE KPN,NL
Kaltek s.r.l.,IT
Katun Corporation,US
Kaufland Marketplace GmbH,DE
Keestrack N.V.,BE
Kesseböhmer Holding KG,DE
KeyMed,GB
Keysight Technologies,US
Knaus Tabbert AG,DE
Kodak,US
Komax Holding AG,CH
Koninklijke Philips,NL
KraussMaffei Extrusion,DE
Kronos Machinery Oy Ab,
LAMA FRANCE,FR
LG ELECTRONICS,KR
LONGi,CN
Laboratoire NATIVE GmbH,DE
Laboratoires LIERAC,FR
Labrador Diagnostics LLC ,US
Laser Components SaS,FR
LavelApp S.r.l.,IT
Leap Tools Inc,US
Legend Biotech Corporation,US
Lenovo,HK
"Lepu Medical Technology (Beijing) Co., Ltd. ",CN
Lexter Microelectronic Engineering Systems S.L.,ES
"Lianzhou International Co., Ltd.",CN
Libra Energy,NL
Lidl,DE
Light Guide Optics Germany,DE
Linea Médica SA,AR
Lionra Technologies Ltd.,IE
Longi,DE
Lotus Cars,GB
Lumileds Singapore Pte. Ltd.,SG
Lynk & Co,CN
M-A-S Maschinen- und Anlagenbau Schulz,AT
MAARS HOLDING B.V.,NL
MAGUIN SAS,FR
MCHB NV,BE
MED-EL Elektromedizinische Geräte Gesellschaft,AT
"MFCI Co., Ltd.",CN
MGR26,IT
MK TRADE SIA,FI
MOLL GmbH & Co.KG,DE
MSG Maschinenbau,DE
MT RealTime Live Ltd,MT
MUTOmed GmbH,DE
Magna PT B.V.,DE
Magna-Tec e.K.,DE
Malikie Innovations,IE
Mammut Sports Group AG,DE
Manfred Sauer,DE
Marciuliano Attrezzature,IT
Max ICT B.V.,NL
"Maxell, LTD",JP
Maxeon Solar,SG
Medeco,
MediaTek Inc.,TW
Medical Calò S.R.L.,IT
Mediq ,NL
Meditech Sachsen GmbH,DE
Meister Co. Ltd.,JP
Memodo,DE
Meril,IN
Messerle Gmbh,AT
"Meta Platforms, Inc.",US
Michelin,FR
MicroTech Medical,CN
"Micron Technology, Inc.",US
Microsoft,US
Moderna,US
"Molecular Instruments, Inc",US
Molino Merano S.r.l.,IT
Morello Forni,IT
Motorola,US
Myriad,US
N.V. Nutricia ,NL
NEC Corporation,JP
NJ DIFFUSION SARL,FR
NTT System S.A.,PL
NUC Electronics,KR
NVIDIA,US
Nagravision Sàrl,CH
Nanjing Kangni Mechanical & Electrical Co.,CN
NanoString Technologies,FR
Nanoval GmbH,DE
Navigate LLC,US
Nera Innovations Ltd. ,IE
Nestlé ,CH
Netflix,US
Netgear,US
"Netprisma, Inc.",US
Network System Technologies,US
"Niche Biomedical, Inc.",US
Nichia Corporation,JP
Nintendo,JP
"Nissan Motor Co., Ltd.",
Nixu FL IP Protection LLC,US
Nokia Technologies,FI
Nomios Germany GmbH,DE
Nordmeccanica S.p.A.,IT
"NovaCloud Licensing, LLC",US
Novawell ,FR
Nurotron,US
Nyxoah SA,BE
ONWARD Medical N.V.,NL
OPEN AI,
OTEC PRAEZISIONSFINISH GMBH,DE
OTEC Präzisionsfinish GmbH,DE
OTECH Germany GmbH,
OTECH Italia S.r.l.,DE
OWIM GmbH,DE
Ocado Innovation Limited,GB
Occlutech GmbH,DE
Odiporo,DE
Oerlikon Textile,DE
Officine Mario Dorin S.p.A.,IT
Oleading B.V.,NL
Omni-Pac,DE
Ona Patents SL,ES
"OnePlus Technology (Shenzhen) Co., Ltd",CN
Opel Automobile,DE
Oppo,CN
Optoma,TW
Optopol Technology Sp. z o.o,PL
Orange SA,FR
Orbisk,NL
OrthoApnea S.L,ES
Ortovox Sportartikel GmbH,DE
O’Laughlin Corporation,HK
PAPST LICENSING,DE
PCHB BVBA,
PHOENIX CONTACT,DE
POSITEC,CN
PRmedical S.r.l.,IT
PULSE LAVAGE AB,SE
"Palo Alto Networks, Inc",US
Panasonic,JP
ParTec AG,DE
Per Aarsleff,DK
Pfizer,US
"Photon Wave Co.,Ltd",KR
Pinterest Inc.,US
Pipelife Nederland B.V.,NL
Plant-e,NL
Playtech Software Limited,GB
Polidoro S.p.a.,IT
Polytech Health & Aesthetics GmbH,DE
PowerDeal,BE
Powermat Technologies,IL
Primetals Technologies,JP
Prinoth S.p.A.,IT
Progress Maschinen & Automation AG,IT
Promosome LLC,US
Puratos NV,BE
QIAGEN,NL
QUANTIFICARE S.A. ,FR
Qlocx AB,SE
Qualcomm,US
Quectel Wireless,CN
Qufora A/S,DK
RTL Group,LU
Raccords et Plastiques Nicoll,FR
"Rakuten Group, Inc.",JP
RealTime SIA,LV
Realme Germany GmbH,DE
Reddy Pharma,FR
Reflection Investment B.V.,NL
Regeneron Pharmaceuticals,US
Rematec GmbH,DE
Renault,FR
"Repairify, Inc.",US
Revolt Zycling AG,CH
Robert Bosch,DE
Robit Plc,FI
Roborock,CN
Roche,CH
"Roku, Inc.",US
Rubin Medical ApS,DK
Rädlinger Maschinenbau GmbH,DE
SAP SE,DE
SCHNELL S.p.A,IT
SEB S.A,FR
SEG Automotive,DE
SHW AUTOMOTIVE GMBH,DE
SILIMED,BR
SITEVIS SA,CH
"SK nexilis Co., Ltd.",KR
SMART TRIKE MNF. PTE. LTD.,SG
SMIS INTERNATIONAL OU,EE
SSAB ,SE
STADA,DE
STEROS GPA INNOVATIVE S.L.,ES
STRABAG,AT
SUNSTAR ENGINEERING,TH
SVF Holdco,GB
SWARCO FUTURIT,AT
Sabert Corporation,US
Samsung,KR
Sandvik Mining and Construction Tools AB,SE
Sanimpo S.r.o.,CZ
Sanofi,FR
Scandit,FI
Scania CV AB,FI
Seiko Epson,JP
SenEaron Healthcare Limited,HK
Seoul Semiconductor,KR
Ser.Ma Group SRL,IT
Shamrock Mobile,DE
Shanghai Bojin Medical Instrument Co. Ltd,CN
"Shanghai EA Medical Instruments Co., Ltd.",
Shanghai International Holding,JP
Shanghai International Holding Corporation,US
"Shanghai Youcheng International Trade Co., Ltd. ",CN
Shangrao Xinyuan Yuedong Technology Development Co.,CN
SharkNinja,US
"Shenzhen Benia New Material Technolo-gy Co., Ltd.",CN
Shenzhen SiSensing Co. Ltd,CN
"Shenzhen Transsion Holdings Co., Ltd.",CN
Shinkyung Inc.,KR
Sibio Technology Limited,HK
Siemens,DE
Siltronic AG,DE
Simulity Labs Limited,GB
Sioen NV,BE
Skechers,US
Sling TV L.L.C.,US
Smart Europe GmbH,
Snowpixie,JP
SodaStream Industries Ltd.,IL
"Sol IP, LLC",US
Solectric GmbH,DE
Soltech Energy,SE
Solvay,BE
Solvest Participatie,
Solvink B.V.,
Sormedica UAB,LT
Sovex Systems B.V. ,
Speed Care Mineral GmbH,DE
Stanley Black & Decker,US
Steindl Krantechnik Gesellschaft m.b.H.,AT
Stellantis,NL
Storz Medical AG,BR
Suinno Mobile & AI Technologies Licensing,FI
Sumi Agro,GB
Sun Patent Trust,US
Sunmi Technology,CN
Supponor,FI
Surftown GmbH,DE
SwipBox Development ApS,DK
Symrise AG,DE
Syngenta Limited,GB
Syntorr,US
Szymon Spyra,PL
T-Systems International,DE
TCL,CN
TEXPORT,IN
TIRU,FR
TMS Technical & Maritime,NL
"TOTAL SEMICONDUCTOR, LLC ",US
TP-LINK,CN
TROESTER,DE
TRUEPIC INC.,US
TRUMPF Laser,DE
Tandem Diabetes Care,US
Tanis Confectionery B.V.,NL
Tec.Mo. S.r.l.,IT
Tecmo Srl,IT
Tecno Mobile Ltd.,HK
Tekpoint GmbH,DE
Teleflex Life Sciences II LLC,US
Telefónica S.A.,ES
Telekom Deutschland,DE
Teqphone GmbH,DE
Tesla,US
Tetra Laval International SA,CH
Texas Instruments,US
The Walt Disney Company,US
Tiroler Rohre GmbH,AT
Toms - Car - hifi,DE
Topcon Corporation,JP
Tridonic GmbH,AT
Tridonic GmbH & Co KG,AT
Troy Chemical Industries,
Truma Geratetechnik GmbH,DE
UERAN Technology LLC,US
UNKNOWN,
Umedwings Netherlands B.V.,NL
Unilever,GB
VAB-LOGISTIK,LT
VALINEA ENERGIE,FR
VDH Solar Groothandel,NL
VEMAG Maschinenbau GmbH,DE
VMware LLC,US
Vahterus Oy,FI
Valeo,FR
Vantiva,FR
Velos Media International Limited,
Verifone,US
Versah LLC,US
Vibrantz,DE
"Viki, Inc.",CL
Viking Arm AS,NO
Visibly Inc.,US
VitalAire,DE
Vivisol B BV,BE
Vivo Mobile,CN
"Vizgen, Inc.",US
Volta Energy Solutions,HR
WARMCOOK,FR
WINKLER UND DUENNEBIER SUESSWARENMASCHINEN GMBH,
WITTER BRASOV SRL,
Wessper,PL
Westfalia-Automotive GmbH,DE
"Whale Technology Co., Ltd",TW
White Water,US
"Wilus Institute of Standards and Technology, Inc.",KR
Windhager Handels GmbH,DE
Winnow Solutions,GB
Wireless Mobility GmbH,DE
Wirtgen GmbH,DE
Wish&Wash BV,BE
Wizart Inc,US
Wobben Properties GmbH,DE
Wonderland Nurserygoods,TW
XPENG MOTORS,DK
XSYS,DE
Xelom s.r.l.,IT
Xiaomi,CN
"Xingmai Innovation Technology (Suzhou) Co., Ltd.",
Yamaha Motor,JP
"Yangtze Memory Technologies Co., Ltd.",CN
Yellow Sphere Innovations,DE
Yimi S.r.l,
Yoram Bar-On,IL
Yunex Gmbh,DE
ZEEKR Germany GmbH,
"ZENTIVA PORTUGAL, LDA",PT
ZF Friedrichshafen AG,DE
ZTE Corporation,CN
Zapp AG,DE
Zeekr Germany GmbH,DE
Zentiva Pharma,DE
Zeppelin GmbH,DE
"Zhejiang Fluorine Chemical New Material Co., Ltd.",CN
Zuatu Cycling International d.o.o.,SI
bellissa HAAS GmbH,DE
betapharm Arzneimittel,DE
bioMerieux,FR
ecoCOAT GmbH,DE
etivoet,
expert e-Commerce,DE
expert klein GmbH,DE
i-mop GmbH,DE
igus GmbH,DE
j-Plasma GmbH,DE
myStromer AG,CH
smart Europe GmbH,DE
